country,Region,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita)
Afghanistan,SouthernAsia,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,-2110,3.2,26.7,5.3,43.2/4.1,42,2.1,9.8/0.3,63
Albania,SouthernEurope,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,-2707,-0.1,57.4,1.7,17.4/19.0,130,28.2,5.7/2.0,84
Algeria,NorthernAfrica,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,-17099,2,70.7,3,29.3/9.4,135,0.8,145.4/3.7,5900
American Samoa,Polynesia,56,278.2,103.6,-99,-99,-99,-99,-99,-99,...,...,...,...,-99,-~0.0,87.2,2.6,33.3/9.0,92,87.9,-99,-99
Andorra,SouthernEurope,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-1255,-1.6,85.1,1.2,14.4/19.0,13,34,0.5/6.4,1
Angola,MiddleAfrica,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,12221,3.5,44.1,6,46.8/4.0,146,46.5,34.8/1.4,3902
Anguilla,Caribbean,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,...,...,...,...,-153,1.2,100,...,23.3/7.6,52,61.1,0.1/9.8,0
Antigua and Barbuda,Caribbean,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,...,...,...,...,-429,1.1,23.8,2.1,23.9/10.9,55,22.3,0.5/5.8,-99
Argentina,SouthAmerica,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,2124,1,91.8,2.3,24.9/15.4,256,10,204.0/4.7,3167
Armenia,WesternAsia,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,-1455,0.3,62.7,1.6,20.0/16.9,114,11.7,5.5/1.8,48
Aruba,Caribbean,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,...,-1022,0.5,41.5,1.8,17.9/19.7,32,2.3,0.9/8.4,1
Australia,Oceania,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,224,1.5,89.4,1.9,19.0/21.0,948,16.2,361.3/15.3,15282
Austria,WesternEurope,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,-3795,0.6,66,1.4,14.1/25.1,118,46.9,58.7/6.9,505
Azerbaijan,WesternAsia,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,611,1.3,54.6,2.1,23.3/10.1,97,13.5,37.5/3.9,2459
Bahamas,Caribbean,395,39.5,95.9,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,-2539,1.4,82.9,1.8,20.5/13.5,86,51.4,2.4/6.3,0
Bahrain,WesternAsia,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,-1856,2,88.8,2.1,19.7/4.6,36,0.8,31.3/23.0,961
