country,GDP_percapita,population_growth%,GDP_growth%,standard_deviation,current_state,prediction_rate,prediction_status
Ireland,60513.6,0.3,26.3,2.842163827,developed,87.66666667,gradually developing
Nauru,18469.2,2.3,18.7,0.172656926,developed,8.130434783,gradually developing
Ethiopia,602.8,2.6,9.6,-0.96172668,under_developed,3.692307692,gradually developing
India,1614.2,1.2,7.6,-0.897510298,under_developed,6.333333333,gradually developing
Lao People's Democratic Republic,1850.2,1.3,7.6,-0.882526052,under_developed,5.846153846,gradually developing
Mali,744.3,2.9,7.6,-0.952742482,under_developed,2.620689655,gradually developing
Myanmar,1161.5,0.9,7.3,-0.926253383,under_developed,8.111111111,gradually developing
Cambodia,1158.7,1.6,7,-0.926431162,under_developed,4.375,gradually developing
Democratic Republic of the Congo,486.2,3.3,7,-0.969129914,under_developed,2.121212121,gradually developing
Dominican Republic,6373.6,1.2,7,-0.595323772,under_developed,5.833333333,gradually developing
United Republic of Tanzania,877.3,3.1,7,-0.944297971,under_developed,2.258064516,gradually developing
China,8109.1,0.5,6.9,-0.485132422,under_developed,13.8,gradually developing
Rwanda,697.3,2.5,6.9,-0.955726633,under_developed,2.76,gradually developing
Seychelles,14133.2,0.5,6.8,-0.102646846,under_developed,13.6,gradually developing
Uzbekistan,2308.3,1.6,6.8,-0.853440107,under_developed,4.25,gradually developing
Viet Nam,2067.9,1.1,6.7,-0.86870372,under_developed,6.090909091,gradually developing
Bangladesh,1207.9,1.2,6.6,-0.923307328,under_developed,5.5,gradually developing
Chad,713,3.3,6.6,-0.954729799,under_developed,2,gradually developing
Mozambique,529.2,2.9,6.6,-0.966399733,under_developed,2.275862069,gradually developing
Papua New Guinea,2797.6,2.2,6.6,-0.822373193,under_developed,3,gradually developing
Djibouti,1956.3,1.7,6.5,-0.87578949,under_developed,3.823529412,gradually developing
Senegal,901.1,3,6.5,-0.942786848,under_developed,2.166666667,gradually developing
Turkmenistan,6996.7,1.8,6.5,-0.555761554,under_developed,3.611111111,gradually developing
Grenada,8933.8,0.4,6.2,-0.432770101,under_developed,15.5,gradually developing
Malta,23280.7,0.5,6.2,0.478151414,developed,12.4,gradually developing
Philippines,2904.2,1.6,5.9,-0.815604886,under_developed,3.6875,gradually developing
Cameroon,1217.3,2.7,5.8,-0.922710498,under_developed,2.148148148,gradually developing
Panama,13268.1,1.7,5.8,-0.157574266,under_developed,3.411764706,gradually developing
Oman,15550.8,6.5,5.7,-0.012639783,under_developed,0.876923077,gradually developing
Palau,12122.5,0.8,5.7,-0.230311352,under_developed,7.125,gradually developing
Kenya,1376.7,2.7,5.6,-0.912589782,under_developed,2.074074074,gradually developing
Pakistan,1410.4,2.1,5.5,-0.910450083,under_developed,2.619047619,gradually developing
Togo,559.4,2.6,5.5,-0.964482258,under_developed,2.115384615,gradually developing
Monaco,165870.6,0.6,5.4,9.53155025,developed,9,gradually developing
Uganda,647.7,3.4,5.4,-0.958875864,under_developed,1.588235294,gradually developing
Namibia,4673.6,2.2,5.3,-0.703261137,under_developed,2.409090909,gradually developing
Benin,779.1,2.8,5.2,-0.950532941,under_developed,1.857142857,gradually developing
Bhutan,2677.1,1.6,5.2,-0.830024048,under_developed,3.25,gradually developing
Malaysia,9768.4,1.8,5,-0.379779205,under_developed,2.777777778,gradually developing
Nicaragua,2086.9,1.2,4.9,-0.867497361,under_developed,4.083333333,gradually developing
Sudan,1977,2.3,4.9,-0.874475194,under_developed,2.130434783,gradually developing
Bolivia (Plurinational State of),3076.8,1.6,4.8,-0.804646069,under_developed,3,gradually developing
Central African Republic,333.2,0.4,4.8,-0.978844277,under_developed,12,gradually developing
Comoros,1368.9,2.4,4.8,-0.913085024,under_developed,2,gradually developing
Eritrea,914.9,2,4.8,-0.94191065,under_developed,2.4,gradually developing
Guinea-Bissau,530,2.6,4.8,-0.966348939,under_developed,1.846153846,gradually developing
Indonesia,3346.5,1.2,4.8,-0.787522123,under_developed,4,gradually developing
Sri Lanka,3973.7,0.5,4.8,-0.747699585,under_developed,9.6,gradually developing
Gambia,473.2,3.1,4.7,-0.969955317,under_developed,1.516129032,gradually developing
Czechia,17561.7,0.1,4.5,0.115037421,developed,45,gradually developing
Montenegro,6424.1,0.1,4.5,-0.592117398,under_developed,45,gradually developing
